Welcome to the Feature Selection Algorithm
Do you want to test the 'LARGE' or 'SMALL' dataset? Input large/small in CAPS please: large
Which dataset do you want to test? Please input from 1-100 for the desired dataset: 28
Do you want to run Forward Selection or Backward Elimination? Enter 1 or 2 for the respective algorithm: 2
Running Data/Ver_2_CS170_Fall_2021_LARGE_data__28.txt
This dataset has 50 features(excluding class attribute) with 2000 instances
Starting from the empty set, our default rate is 83.8

--Removing feature 17 from current set yields accuracy of 74.4 
--Removing feature 18 from current set yields accuracy of 73.25 
--Removing feature 19 from current set yields accuracy of 74.75 
--Removing feature 20 from current set yields accuracy of 74.9 
--Removing feature 21 from current set yields accuracy of 74.1 
--Removing feature 22 from current set yields accuracy of 73.95 
--Removing feature 23 from current set yields accuracy of 74.1 
--Removing feature 24 from current set yields accuracy of 73.85 
--Removing feature 25 from current set yields accuracy of 75.5 
--Removing feature 26 from current set yields accuracy of 74.5 
--Removing feature 27 from current set yields accuracy of 73.3 
--Removing feature 28 from current set yields accuracy of 74.85 
--Removing feature 29 from current set yields accuracy of 75.1 
--Removing feature 30 from current set yields accuracy of 74.0 
--Removing feature 31 from current set yields accuracy of 74.55 
--Removing feature 32 from current set yields accuracy of 73.55 
--Removing feature 34 from current set yields accuracy of 73.9 
--Removing feature 35 from current set yields accuracy of 74.15 
--Removing feature 36 from current set yields accuracy of 73.05 
--Removing feature 37 from current set yields accuracy of 74.2 
--Removing feature 38 from current set yields accuracy of 74.05 
--Removing feature 39 from current set yields accuracy of 73.8 
--Removing feature 40 from current set yields accuracy of 73.75 
--Removing feature 41 from current set yields accuracy of 74.3 
--Removing feature 42 from current set yields accuracy of 74.0 
--Removing feature 43 from current set yields accuracy of 73.6 
--Removing feature 44 from current set yields accuracy of 73.95 
--Removing feature 46 from current set yields accuracy of 74.8 
--Removing feature 47 from current set yields accuracy of 73.8 
--Removing feature 48 from current set yields accuracy of 74.45 
--Removing feature 49 from current set yields accuracy of 74.5 
--Removing feature 50 from current set yields accuracy of 74.15 
At level 3, I removed feature 25 from the current set to achieve an accuracy of 75.5

On the 4th level of the search tree
--Removing feature 1 from current set yields accuracy of 75.7 
--Removing feature 2 from current set yields accuracy of 75.0 
--Removing feature 3 from current set yields accuracy of 74.2 
--Removing feature 4 from current set yields accuracy of 74.4 
--Removing feature 5 from current set yields accuracy of 73.55 
--Removing feature 6 from current set yields accuracy of 75.3 
--Removing feature 7 from current set yields accuracy of 75.9 
--Removing feature 8 from current set yields accuracy of 75.55 
--Removing feature 9 from current set yields accuracy of 74.55 
--Removing feature 10 from current set yields accuracy of 75.05 
--Removing feature 11 from current set yields accuracy of 74.5 
--Removing feature 12 from current set yields accuracy of 74.05 
--Removing feature 13 from current set yields accuracy of 74.75 
--Removing feature 14 from current set yields accuracy of 75.95 
--Removing feature 15 from current set yields accuracy of 74.8 
--Removing feature 16 from current set yields accuracy of 75.65 
--Removing feature 17 from current set yields accuracy of 74.9 
--Removing feature 18 from current set yields accuracy of 74.6 
--Removing feature 19 from current set yields accuracy of 75.75 
--Removing feature 20 from current set yields accuracy of 75.45 
--Removing feature 21 from current set yields accuracy of 74.45 
--Removing feature 22 from current set yields accuracy of 74.8 
--Removing feature 23 from current set yields accuracy of 75.3 
--Removing feature 24 from current set yields accuracy of 74.9 
--Removing feature 26 from current set yields accuracy of 75.1 
--Removing feature 27 from current set yields accuracy of 74.0 
--Removing feature 28 from current set yields accuracy of 74.95 
--Removing feature 29 from current set yields accuracy of 75.85 
--Removing feature 30 from current set yields accuracy of 75.0 
--Removing feature 31 from current set yields accuracy of 75.45 
--Removing feature 32 from current set yields accuracy of 75.15 
--Removing feature 34 from current set yields accuracy of 75.1 
--Removing feature 35 from current set yields accuracy of 75.95 
--Removing feature 36 from current set yields accuracy of 74.6 
--Removing feature 37 from current set yields accuracy of 75.15 
--Removing feature 38 from current set yields accuracy of 75.0 
--Removing feature 39 from current set yields accuracy of 75.45 
--Removing feature 40 from current set yields accuracy of 74.35 
--Removing feature 41 from current set yields accuracy of 75.0 
--Removing feature 42 from current set yields accuracy of 74.7 
--Removing feature 43 from current set yields accuracy of 74.55 
--Removing feature 44 from current set yields accuracy of 74.65 
--Removing feature 46 from current set yields accuracy of 75.95 
--Removing feature 47 from current set yields accuracy of 74.7 
--Removing feature 48 from current set yields accuracy of 74.35 
--Removing feature 49 from current set yields accuracy of 75.5 
--Removing feature 50 from current set yields accuracy of 75.35 
At level 4, I removed feature 14 from the current set to achieve an accuracy of 75.95

On the 5th level of the search tree
--Removing feature 1 from current set yields accuracy of 75.85 
--Removing feature 2 from current set yields accuracy of 74.95 
--Removing feature 3 from current set yields accuracy of 75.3 
--Removing feature 4 from current set yields accuracy of 74.85 
--Removing feature 5 from current set yields accuracy of 74.2 
--Removing feature 6 from current set yields accuracy of 75.25 
--Removing feature 7 from current set yields accuracy of 75.7 
--Removing feature 8 from current set yields accuracy of 75.4 
--Removing feature 9 from current set yields accuracy of 74.45 
--Removing feature 10 from current set yields accuracy of 74.9 
--Removing feature 11 from current set yields accuracy of 74.2 
--Removing feature 12 from current set yields accuracy of 74.75 
--Removing feature 13 from current set yields accuracy of 74.55 
--Removing feature 15 from current set yields accuracy of 75.7 
--Removing feature 16 from current set yields accuracy of 75.35 
--Removing feature 17 from current set yields accuracy of 75.85 
--Removing feature 18 from current set yields accuracy of 74.5 
--Removing feature 19 from current set yields accuracy of 75.45 
--Removing feature 20 from current set yields accuracy of 75.35 
--Removing feature 21 from current set yields accuracy of 74.65 
--Removing feature 22 from current set yields accuracy of 74.15 
--Removing feature 23 from current set yields accuracy of 75.75 
--Removing feature 24 from current set yields accuracy of 74.75 
--Removing feature 26 from current set yields accuracy of 75.1 
--Removing feature 27 from current set yields accuracy of 74.1 
--Removing feature 28 from current set yields accuracy of 75.6 
--Removing feature 29 from current set yields accuracy of 75.2 
--Removing feature 30 from current set yields accuracy of 75.6 
--Removing feature 31 from current set yields accuracy of 74.95 
--Removing feature 32 from current set yields accuracy of 75.6 
--Removing feature 34 from current set yields accuracy of 74.95 
--Removing feature 35 from current set yields accuracy of 75.4 
--Removing feature 36 from current set yields accuracy of 73.95 
--Removing feature 37 from current set yields accuracy of 75.15 
At level 5, I removed feature 1 from the current set to achieve an accuracy of 75.85

#Was not able to get information from level 5 - level 9 as console showed a limit on printed text

--Removing feature 20 from current set yields accuracy of 75.85 
--Removing feature 21 from current set yields accuracy of 75.8 
--Removing feature 22 from current set yields accuracy of 75.5 
--Removing feature 23 from current set yields accuracy of 76.1 
--Removing feature 24 from current set yields accuracy of 76.05 
--Removing feature 26 from current set yields accuracy of 75.15 
--Removing feature 27 from current set yields accuracy of 75.85 
--Removing feature 28 from current set yields accuracy of 76.05 
--Removing feature 31 from current set yields accuracy of 75.35 
--Removing feature 32 from current set yields accuracy of 76.5 
--Removing feature 34 from current set yields accuracy of 76.5 
--Removing feature 35 from current set yields accuracy of 76.85 
--Removing feature 36 from current set yields accuracy of 75.1 
--Removing feature 37 from current set yields accuracy of 76.4 
--Removing feature 38 from current set yields accuracy of 75.65 
--Removing feature 39 from current set yields accuracy of 75.85 
--Removing feature 40 from current set yields accuracy of 76.15 
--Removing feature 41 from current set yields accuracy of 75.5 
--Removing feature 42 from current set yields accuracy of 75.9 
--Removing feature 43 from current set yields accuracy of 75.4 
--Removing feature 44 from current set yields accuracy of 76.85 
--Removing feature 46 from current set yields accuracy of 75.8 
--Removing feature 47 from current set yields accuracy of 75.75 
--Removing feature 48 from current set yields accuracy of 74.95 
--Removing feature 49 from current set yields accuracy of 75.85 
--Removing feature 50 from current set yields accuracy of 75.8 
At level 9, I removed feature 35 from the current set to achieve an accuracy of 76.85

On the 10th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.5 
--Removing feature 3 from current set yields accuracy of 75.7 
--Removing feature 4 from current set yields accuracy of 75.9 
--Removing feature 5 from current set yields accuracy of 75.6 
--Removing feature 6 from current set yields accuracy of 76.15 
--Removing feature 7 from current set yields accuracy of 76.35 
--Removing feature 8 from current set yields accuracy of 76.05 
--Removing feature 9 from current set yields accuracy of 75.7 
--Removing feature 10 from current set yields accuracy of 76.0 
--Removing feature 11 from current set yields accuracy of 75.35 
--Removing feature 12 from current set yields accuracy of 76.8 
--Removing feature 13 from current set yields accuracy of 76.5 
--Removing feature 15 from current set yields accuracy of 76.25 
--Removing feature 16 from current set yields accuracy of 76.9 
--Removing feature 17 from current set yields accuracy of 76.8 
--Removing feature 18 from current set yields accuracy of 76.25 
--Removing feature 20 from current set yields accuracy of 76.65 
--Removing feature 21 from current set yields accuracy of 76.3 
--Removing feature 22 from current set yields accuracy of 76.05 
--Removing feature 23 from current set yields accuracy of 76.1 
--Removing feature 24 from current set yields accuracy of 76.8 
--Removing feature 26 from current set yields accuracy of 75.3 
--Removing feature 27 from current set yields accuracy of 75.75 
--Removing feature 28 from current set yields accuracy of 76.95 
--Removing feature 31 from current set yields accuracy of 75.7 
--Removing feature 32 from current set yields accuracy of 76.9 
--Removing feature 34 from current set yields accuracy of 76.3 
--Removing feature 36 from current set yields accuracy of 75.55
--Removing feature 37 from current set yields accuracy of 76.35
--Removing feature 38 from current set yields accuracy of 76.95
--Removing feature 39 from current set yields accuracy of 75.8
--Removing feature 40 from current set yields accuracy of 76.1
--Removing feature 41 from current set yields accuracy of 76.2
--Removing feature 42 from current set yields accuracy of 76.7
--Removing feature 43 from current set yields accuracy of 75.85
--Removing feature 44 from current set yields accuracy of 76.3
--Removing feature 46 from current set yields accuracy of 76.3
--Removing feature 47 from current set yields accuracy of 76.3
--Removing feature 48 from current set yields accuracy of 75.8
--Removing feature 49 from current set yields accuracy of 75.4
--Removing feature 50 from current set yields accuracy of 75.75 
At level 10, I removed feature 28 from the current set to achieve an accuracy of 76.95

On the 11th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.2 
--Removing feature 3 from current set yields accuracy of 76.55 
--Removing feature 4 from current set yields accuracy of 75.7 
--Removing feature 5 from current set yields accuracy of 75.95 
--Removing feature 6 from current set yields accuracy of 76.1 
--Removing feature 7 from current set yields accuracy of 76.75 
--Removing feature 8 from current set yields accuracy of 76.55 
--Removing feature 9 from current set yields accuracy of 76.05 
--Removing feature 10 from current set yields accuracy of 76.4 
--Removing feature 11 from current set yields accuracy of 75.75 
--Removing feature 12 from current set yields accuracy of 76.8 
--Removing feature 13 from current set yields accuracy of 76.75 
--Removing feature 15 from current set yields accuracy of 76.95 
--Removing feature 16 from current set yields accuracy of 75.95 
--Removing feature 17 from current set yields accuracy of 76.85 
--Removing feature 18 from current set yields accuracy of 76.3 
--Removing feature 20 from current set yields accuracy of 76.2 
--Removing feature 21 from current set yields accuracy of 76.6 
--Removing feature 22 from current set yields accuracy of 75.85 
--Removing feature 23 from current set yields accuracy of 75.95 
--Removing feature 24 from current set yields accuracy of 76.85 
--Removing feature 26 from current set yields accuracy of 76.1 
--Removing feature 27 from current set yields accuracy of 75.75 
--Removing feature 31 from current set yields accuracy of 76.6 
--Removing feature 32 from current set yields accuracy of 76.5 
--Removing feature 34 from current set yields accuracy of 77.65 
--Removing feature 36 from current set yields accuracy of 75.55 
--Removing feature 37 from current set yields accuracy of 76.05 
--Removing feature 38 from current set yields accuracy of 77.15 
--Removing feature 39 from current set yields accuracy of 76.2 
--Removing feature 40 from current set yields accuracy of 76.85 
--Removing feature 41 from current set yields accuracy of 76.45 
--Removing feature 42 from current set yields accuracy of 76.85 
--Removing feature 43 from current set yields accuracy of 75.95 
--Removing feature 44 from current set yields accuracy of 76.65 
--Removing feature 46 from current set yields accuracy of 76.05 
--Removing feature 47 from current set yields accuracy of 76.45 
--Removing feature 48 from current set yields accuracy of 75.75 
--Removing feature 49 from current set yields accuracy of 76.9 
--Removing feature 50 from current set yields accuracy of 75.75 
At level 11, I removed feature 34 from the current set to achieve an accuracy of 77.65

On the 12th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.3 
--Removing feature 3 from current set yields accuracy of 77.15 
--Removing feature 4 from current set yields accuracy of 77.3 
--Removing feature 5 from current set yields accuracy of 76.0 
--Removing feature 6 from current set yields accuracy of 76.25 
--Removing feature 7 from current set yields accuracy of 76.6 
--Removing feature 8 from current set yields accuracy of 77.5 
--Removing feature 9 from current set yields accuracy of 76.95 
--Removing feature 10 from current set yields accuracy of 76.9 
--Removing feature 11 from current set yields accuracy of 75.95 
--Removing feature 12 from current set yields accuracy of 76.95 
--Removing feature 13 from current set yields accuracy of 76.8 
--Removing feature 15 from current set yields accuracy of 77.3 
--Removing feature 16 from current set yields accuracy of 77.1 
--Removing feature 17 from current set yields accuracy of 76.8 
--Removing feature 18 from current set yields accuracy of 76.65 
--Removing feature 20 from current set yields accuracy of 77.5 
--Removing feature 21 from current set yields accuracy of 76.45 
--Removing feature 22 from current set yields accuracy of 77.3 
--Removing feature 23 from current set yields accuracy of 76.95 
--Removing feature 24 from current set yields accuracy of 77.45 
--Removing feature 26 from current set yields accuracy of 76.8 
--Removing feature 27 from current set yields accuracy of 76.45 
--Removing feature 31 from current set yields accuracy of 76.65 
--Removing feature 32 from current set yields accuracy of 77.3 
--Removing feature 36 from current set yields accuracy of 76.1 
--Removing feature 37 from current set yields accuracy of 76.8 
--Removing feature 38 from current set yields accuracy of 76.9 
--Removing feature 39 from current set yields accuracy of 75.85 
--Removing feature 40 from current set yields accuracy of 76.95 
--Removing feature 41 from current set yields accuracy of 76.7 
--Removing feature 42 from current set yields accuracy of 76.9 
--Removing feature 43 from current set yields accuracy of 76.35 
--Removing feature 44 from current set yields accuracy of 76.5 
--Removing feature 46 from current set yields accuracy of 76.4 
--Removing feature 47 from current set yields accuracy of 76.75 
--Removing feature 48 from current set yields accuracy of 75.85 
--Removing feature 49 from current set yields accuracy of 77.4 
--Removing feature 50 from current set yields accuracy of 76.55 
At level 12, I removed feature 8 from the current set to achieve an accuracy of 77.5

On the 13th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.1 
--Removing feature 3 from current set yields accuracy of 76.75 
--Removing feature 4 from current set yields accuracy of 78.1 
--Removing feature 5 from current set yields accuracy of 76.7 
--Removing feature 6 from current set yields accuracy of 77.15 
--Removing feature 7 from current set yields accuracy of 77.0 
--Removing feature 9 from current set yields accuracy of 76.35 
--Removing feature 10 from current set yields accuracy of 77.3 
--Removing feature 11 from current set yields accuracy of 76.55 
--Removing feature 12 from current set yields accuracy of 77.3 
--Removing feature 13 from current set yields accuracy of 76.95 
--Removing feature 15 from current set yields accuracy of 77.1 
--Removing feature 16 from current set yields accuracy of 77.2 
--Removing feature 17 from current set yields accuracy of 76.75 
--Removing feature 18 from current set yields accuracy of 76.45 
--Removing feature 20 from current set yields accuracy of 77.55 
--Removing feature 21 from current set yields accuracy of 76.6 
--Removing feature 22 from current set yields accuracy of 77.1 
--Removing feature 23 from current set yields accuracy of 77.4 
--Removing feature 24 from current set yields accuracy of 77.3 
--Removing feature 26 from current set yields accuracy of 76.9 
--Removing feature 27 from current set yields accuracy of 76.45 
--Removing feature 31 from current set yields accuracy of 76.75 
--Removing feature 32 from current set yields accuracy of 76.65 
--Removing feature 36 from current set yields accuracy of 75.75 
--Removing feature 37 from current set yields accuracy of 76.95 
--Removing feature 38 from current set yields accuracy of 76.55 
--Removing feature 39 from current set yields accuracy of 76.9 
--Removing feature 40 from current set yields accuracy of 76.85 
--Removing feature 41 from current set yields accuracy of 76.45 
--Removing feature 42 from current set yields accuracy of 76.55 
--Removing feature 43 from current set yields accuracy of 76.3 
--Removing feature 44 from current set yields accuracy of 76.5 
--Removing feature 46 from current set yields accuracy of 76.45 
--Removing feature 47 from current set yields accuracy of 77.2 
--Removing feature 48 from current set yields accuracy of 76.45 
--Removing feature 49 from current set yields accuracy of 76.25 
--Removing feature 50 from current set yields accuracy of 77.05 
At level 13, I removed feature 4 from the current set to achieve an accuracy of 78.1

On the 14th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.5 
--Removing feature 3 from current set yields accuracy of 77.15 
--Removing feature 5 from current set yields accuracy of 77.0 
--Removing feature 6 from current set yields accuracy of 77.4 
--Removing feature 7 from current set yields accuracy of 77.35 
--Removing feature 9 from current set yields accuracy of 77.2 
--Removing feature 10 from current set yields accuracy of 77.25 
--Removing feature 11 from current set yields accuracy of 77.25 
--Removing feature 12 from current set yields accuracy of 75.75 
--Removing feature 13 from current set yields accuracy of 76.95 
--Removing feature 15 from current set yields accuracy of 77.4 
--Removing feature 16 from current set yields accuracy of 77.85 
--Removing feature 17 from current set yields accuracy of 77.45 
--Removing feature 18 from current set yields accuracy of 76.5 
--Removing feature 20 from current set yields accuracy of 77.7 
--Removing feature 21 from current set yields accuracy of 77.55 
--Removing feature 22 from current set yields accuracy of 78.05 
--Removing feature 23 from current set yields accuracy of 77.65 
--Removing feature 24 from current set yields accuracy of 76.95 
--Removing feature 26 from current set yields accuracy of 76.85 
--Removing feature 27 from current set yields accuracy of 76.4 
--Removing feature 31 from current set yields accuracy of 77.1 
--Removing feature 32 from current set yields accuracy of 77.1 
--Removing feature 36 from current set yields accuracy of 76.45 
--Removing feature 37 from current set yields accuracy of 77.75 
--Removing feature 38 from current set yields accuracy of 76.75 
--Removing feature 39 from current set yields accuracy of 76.45 
--Removing feature 40 from current set yields accuracy of 76.8 
--Removing feature 41 from current set yields accuracy of 76.9 
--Removing feature 42 from current set yields accuracy of 76.5 
--Removing feature 43 from current set yields accuracy of 76.15 
--Removing feature 44 from current set yields accuracy of 76.3 
--Removing feature 46 from current set yields accuracy of 76.85 
--Removing feature 47 from current set yields accuracy of 76.95 
--Removing feature 48 from current set yields accuracy of 76.15 
--Removing feature 49 from current set yields accuracy of 77.6 
--Removing feature 50 from current set yields accuracy of 76.5 
At level 14, I removed feature 22 from the current set to achieve an accuracy of 78.05

On the 15th level of the search tree
--Removing feature 2 from current set yields accuracy of 77.1 
--Removing feature 3 from current set yields accuracy of 77.2 
--Removing feature 5 from current set yields accuracy of 77.35 
--Removing feature 6 from current set yields accuracy of 76.25 
--Removing feature 7 from current set yields accuracy of 78.0 
--Removing feature 9 from current set yields accuracy of 77.2 
--Removing feature 10 from current set yields accuracy of 76.75 
--Removing feature 11 from current set yields accuracy of 76.7 
--Removing feature 12 from current set yields accuracy of 76.45 
--Removing feature 13 from current set yields accuracy of 76.75 
--Removing feature 15 from current set yields accuracy of 77.45 
--Removing feature 16 from current set yields accuracy of 76.75 
--Removing feature 17 from current set yields accuracy of 77.65 
--Removing feature 18 from current set yields accuracy of 77.0 
--Removing feature 20 from current set yields accuracy of 77.4 
--Removing feature 21 from current set yields accuracy of 76.95 
--Removing feature 23 from current set yields accuracy of 77.65 
--Removing feature 24 from current set yields accuracy of 77.15 
--Removing feature 26 from current set yields accuracy of 76.8 
--Removing feature 27 from current set yields accuracy of 75.95 
--Removing feature 31 from current set yields accuracy of 77.0 
--Removing feature 32 from current set yields accuracy of 77.75 
--Removing feature 36 from current set yields accuracy of 76.85 
--Removing feature 37 from current set yields accuracy of 77.75 
--Removing feature 38 from current set yields accuracy of 77.45 
--Removing feature 39 from current set yields accuracy of 76.8 
--Removing feature 40 from current set yields accuracy of 76.95 
--Removing feature 41 from current set yields accuracy of 76.95 
--Removing feature 42 from current set yields accuracy of 75.6 
--Removing feature 43 from current set yields accuracy of 75.85 
--Removing feature 44 from current set yields accuracy of 76.5 
--Removing feature 46 from current set yields accuracy of 76.75 
--Removing feature 47 from current set yields accuracy of 77.7 
--Removing feature 48 from current set yields accuracy of 76.8 
--Removing feature 49 from current set yields accuracy of 76.95 
--Removing feature 50 from current set yields accuracy of 76.25 
At level 15, I removed feature 7 from the current set to achieve an accuracy of 78.0

On the 16th level of the search tree
--Removing feature 2 from current set yields accuracy of 76.9 
--Removing feature 3 from current set yields accuracy of 76.95 
--Removing feature 5 from current set yields accuracy of 76.6 
--Removing feature 6 from current set yields accuracy of 75.95 
--Removing feature 9 from current set yields accuracy of 76.8 
--Removing feature 10 from current set yields accuracy of 76.7 
--Removing feature 11 from current set yields accuracy of 76.6 
--Removing feature 12 from current set yields accuracy of 76.35 
--Removing feature 13 from current set yields accuracy of 77.05 
--Removing feature 15 from current set yields accuracy of 77.35 
--Removing feature 16 from current set yields accuracy of 77.05 
--Removing feature 17 from current set yields accuracy of 76.85 
--Removing feature 18 from current set yields accuracy of 76.3 
--Removing feature 20 from current set yields accuracy of 76.5 
--Removing feature 21 from current set yields accuracy of 76.85 
--Removing feature 23 from current set yields accuracy of 77.05 
--Removing feature 24 from current set yields accuracy of 76.55 
--Removing feature 26 from current set yields accuracy of 76.45 
--Removing feature 27 from current set yields accuracy of 76.35 
--Removing feature 31 from current set yields accuracy of 77.05 
--Removing feature 32 from current set yields accuracy of 76.85 
--Removing feature 36 from current set yields accuracy of 76.65 
--Removing feature 37 from current set yields accuracy of 77.15 
--Removing feature 38 from current set yields accuracy of 76.5 
--Removing feature 39 from current set yields accuracy of 76.45 
--Removing feature 40 from current set yields accuracy of 76.45 
--Removing feature 41 from current set yields accuracy of 77.2 
--Removing feature 42 from current set yields accuracy of 75.0 
--Removing feature 43 from current set yields accuracy of 76.65 
--Removing feature 44 from current set yields accuracy of 77.0 
--Removing feature 46 from current set yields accuracy of 76.75 
--Removing feature 47 from current set yields accuracy of 76.55 
--Removing feature 48 from current set yields accuracy of 76.6 
--Removing feature 49 from current set yields accuracy of 76.9 
--Removing feature 50 from current set yields accuracy of 75.85 
